Vserver Type,Partition Name,Vserver State,Vserver State Timestamp,Vserver IP Address,Vserver Name,Hostname,Display Name,Vserver Health,App Security,Vserver Effective State,Vserver Port
SSL,,Up,"48 days, 18h : 27m : 43s",10.82.134.16,vm1,nhqnscab5a,10.86.90.101-10.86.90.102,67,,UP,443
SSL,,Down,"6 days, 16h : 05m : 43s",10.82.134.24,vm2,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,18443
TCP,,Out of Service,"4 days, 21h : 06m : 46s",10.82.134.6,vm3,nhqnscab5a,10.86.90.101-10.86.90.102,50,,DOWN,7520
SSL,,Up,"146 days, 17h : 24m : 20s",10.82.134.5,vm4,nhqnscab5a,10.86.90.101-10.86.90.102,100,,UP,443
HTTP,,Down,"146 days, 17h : 35m : 24s",10.82.134.130,vm5,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,80
SSL,,Down,"146 days, 17h : 35m : 24s",10.82.134.21,vm6,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,443
HTTP,,Up,"146 days, 17h : 24m : 20s",10.82.134.5,vm7,nhqnscab5a,10.86.90.101-10.86.90.102,100,,UP,80
SSL,,Down,"149 days, 20h : 46m : 07s",0.0.0.0,vm8,nhqnscab6b,10.86.90.111-10.86.90.112,0,,DOWN,0
SSL,,Down,"146 days, 17h : 35m : 24s",10.82.134.253,vm9,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,443
SSL,,Down,"146 days, 17h : 35m : 24s",10.82.134.4,vm10,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,5443
HTTP,,Up,"146 days, 17h : 24m : 20s",10.82.134.14,vm11,nhqnscab5a,10.86.90.101-10.86.90.102,100,,UP,80
SSL_BRIDGE,,Down,"146 days, 17h : 35m : 24s",192.168.1.1,vm12,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,443
SSL,,Down,"146 days, 17h : 35m : 24s",10.82.134.6,vm13,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,443
SSL,,Out of Service,"46 days, 01h : 47m : 58s",10.82.134.14,vm14,nhqnscab5a,10.86.90.101-10.86.90.102,100,,DOWN,443
SSL,,Down,"146 days, 17h : 35m : 24s",10.82.134.19,vm15,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,443
TCP,,Up,"146 days, 17h : 24m : 20s",10.82.134.13,vm16,nhqnscab5a,10.86.90.101-10.86.90.102,100,,UP,7520
SSL,,Down,"146 days, 17h : 35m : 24s",10.82.134.12,vm17,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,443
SSL,,Down,"146 days, 17h : 35m : 24s",0.0.0.0,vm18,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,0
HTTP,,Down,"146 days, 17h : 35m : 24s",10.82.134.88,vm19,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,80
SSL,,Out of Service,00h : 00m : 26s,10.82.134.17,vm20,nhqnscab5a,10.86.90.101-10.86.90.102,67,,DOWN,443
SSL,,Down,"146 days, 17h : 35m : 24s",10.82.134.13,vm21,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,443
HTTP,,Down,"146 days, 17h : 35m : 24s",10.82.134.251,vm22,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,80
TCP,,Out of Service,00h : 00m : 11s,10.82.134.16,vm23,nhqnscab5a,10.86.90.101-10.86.90.102,67,,DOWN,4447
SSL_TCP,,Out of Service,00h : 00m : 11s,10.247.216.48,vm24,nhqnscab5a,10.86.90.101-10.86.90.102,100,,DOWN,6514
HTTP,,Down,"146 days, 17h : 35m : 24s",10.82.134.6,vm25,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,80
SSL,,Down,"146 days, 17h : 35m : 24s",10.82.134.4,vm26,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,4903
HTTP,,Down,"110 days, 08h : 25m : 27s",10.82.134.40,vm27,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,80
